Week Return On;KO US Equity;FLR US Equity;GE US Equity;AMZN US Equity;WMT US Equity
12/11/2010;0,005433046;0,007702182;-0,028690997;-0,029806172;-0,019384058
19/11/2010;0,022250477;0,05022748;-0,001843755;-0,005190729;0,004803251
26/11/2010;-0,003264925;-0,002079362;-0,025892313;0,076932411;-0,011950726
3/12/2010;0,006083294;0,072582045;0,062023466;-0,010253521;0,01637514
10/12/2010;0,002325581;0,007608872;0,056020533;-0,00034153;-0,006224826
17/12/2010;0,016241299;0,024421594;-0,001133068;0,01116046;0,002394989
24/12/2010;-0,001826484;0,034818068;0,019213476;0,028212637;-0,014886969
31/12/2010;0,002897225;0,00424371;0,013857332;-0,014184786;0,006156716
7/01/2011;-0,043332827;-0,005131301;0,007655862;0,0305;0,002781383
14/01/2011;0,003337572;0,079945388;0,021020665;0,017575071;0,013498521
21/01/2011;-0,005702519;-0,002387976;0,049026166;-0,06002649;0,016785258
28/01/2011;-0,008921459;-0,037876654;0,023304225;-0,035396235;0,017405347
4/02/2011;0,005626105;0,00526855;0,017819161;0,027988781;-0,011816578
11/02/2011;0,016144501;0,070315912;0,037453259;0,075711931;-0,006068178
18/02/2011;0,015416077;0,017002176;0,005155217;-0,014531044;-0,005566529
25/02/2011;-0,003718048;-0,075030092;-0,028914271;-0,049651475;-0,065547129
4/03/2011;0,013994713;0,031087334;-0,021615626;-0,031426315;0,006183575
11/03/2011;-0,006134029;-0,034497265;-0,000490279;-0,020970467;0,009986557
18/03/2011;-0,032556704;0,006681191;-0,054519163;-0,037186886;-0,020346073
25/03/2011;0,040191388;0,067522724;0,025972622;0,056606106;0,016110248
1/04/2011;0,03066544;-0,014461414;0,02987669;0,053515031;-0,004202483
8/04/2011;0,000743826;-0,030444323;-0,007375242;0,025426081;0,007864953
15/04/2011;0,011000446;-0,027864215;-0,007430041;-0,025445293;0,019223449
22/04/2011;-0,001911484;0,00974829;-0,004490357;0,032664852;0,000560224
29/04/2011;-0,00618739;0,00778098;0,025061271;0,053364893;0,026129153
6/05/2011;-0,008301216;0,013297112;-0,021518395;0,009141515;0,000727537
13/05/2011;0,019133034;-0,026386341;-0,005994406;0,025101215;0,012722646
20/05/2011;0,001760047;-0,024202899;-0,013572673;-0,019302923;-0,007717157
27/05/2011;-0,026207906;0,009950988;-0,009178252;-0,022753587;-0,010671007
3/06/2011;-0,014734626;-0,033088235;-0,031888991;-0,029928398;-0,019012797
10/06/2011;-0,002136426;-0,057794677;-0,026571517;-0,009505098;-0,017517704
17/06/2011;0,003517357;-0,023728814;0,009278766;-0,000857771;0,001896813
24/06/2011;-0,010515087;0,010582011;-0,028120516;0,033159843;-0,007762211
1/07/2011;0,048667796;0,048592932;0,068445093;0,087977149;0,020988361
8/07/2011;0,008665002;0,045248869;-0,010934114;0,041959043;0,010652215
15/07/2011;-0,016744321;-0,027466786;-0,030546395;-0,02478468;-0,008321006
22/07/2011;0,032578113;0,034228703;0,034221263;0,017146615;0,016595189
29/07/2011;-0,024666571;-0,057138617;-0,059348057;0,027711066;-0,033198826
5/08/2011;-0,018232613;-0,10105462;-0,07816566;-0,089070645;-0,035287422
12/08/2011;0,005541411;0,029416915;-0,038159329;-0,00197336;-0,021632252
19/08/2011;-0,00059577;-0,078414696;-0,049748767;-0,115521503;0,051256281
26/08/2011;0,020864382;0,059246955;0,029816688;0,113675739;0,011472275
2/09/2011;0,01810219;0,012894232;0,014158711;0,05384654;-0,016446125
9/09/2011;-0,00530542;-0,010665749;-0,042510215;0,006619048;-0,012877186
16/09/2011;0,026812743;0,053208138;0,082169965;0,132030843;0,025116822
23/09/2011;-0,053488699;-0,169390788;-0,06858548;-0,065566235;-0,035137702
30/09/2011;0,002076535;-0,074736633;0,000656608;-0,033003891;0,021653543
7/10/2011;-0,024570752;0,077121375;0,018400295;0,039356241;0,034682081
14/10/2011;0,029590288;0,110291185;0,070969301;0,097757409;0,032774674
21/10/2011;0,005011054;-0,020657446;-0,017472175;-0,04835637;0,026325279
28/10/2011;0,010852031;0,093727073;0,057634902;-0,074367493;0,004040759
4/11/2011;-0,016683592;-0,079993292;-0,049856467;-0,003865268;0,006124234
11/11/2011;0,005016229;0,022602989;-0,005490355;0,004203622;0,029565217
18/11/2011;-0,010716383;-0,063814617;-0,039876439;-0,093150559;-0,033277027
25/11/2011;-0,039323342;-0,0573115;-0,060703555;-0,074774272;-0,00594094
2/12/2011;0,025332098;0,087457079;0,094555002;0,074731769;0,021093338
9/12/2011;0,017927086;-0,02526003;0,046616882;-0,01530378;0,003959373
16/12/2011;-0,001923931;-0,083650915;0,010094208;-0,060974978;-0,000857339
23/12/2011;0,037069988;0,055105011;0,071720823;-0,021957409;0,029517762
30/12/2011;0,000428939;-0,009657075;-0,017553471;-0,02357852;-0,003833972
6/01/2012;-0,014863513;0,029253731;0,041316217;0,054939341;-0,012717537
13/01/2012;-0,028144494;0,035189482;0,010191161;-0,022945074;0,009152542
20/01/2012;0,016420361;0,043518864;0,016454997;0,070115458;0,024689285
27/01/2012;-0,009546189;0,024342223;-0,006269013;0,023254596;-0,004917227
3/02/2012;0,009489917;0,045954919;-0,000524802;-0,039361212;0,021742711
10/02/2012;-0,002056404;-0,004844637;-0,007624569;-0,011402387;-0,00209576
17/02/2012;0,016337945;0,024005372;0,021456602;-0,016384607;0,009369952
24/02/2012;-0,000724113;0,039344262;-0,002071991;-0,018465753;-0,059058899
2/03/2012;0,002608696;-0,026971609;-0,014036605;0,000949031;0,003742133
9/03/2012;0,004770165;-0,010374453;0,003690725;0,027997769;0,01813252
16/03/2012;0,009351172;0,026699427;0,060927102;0,003960503;0,0126498
23/03/2012;0,01895667;-0,03063178;-0,020790738;0,053985409;-0,00147929
30/03/2012;0,035249685;-0,011849901;0,014657929;0,038299836;0,007407407
6/04/2012;-0,007296311;-0,001998668;-0,028897539;-0,040096785;-0,008660131
13/04/2012;-0,020824826;-0,030373832;-0,031300041;-0,030505684;-0,01483435
20/04/2012;0,030442035;0,005851979;0,025423729;0,008065372;0,044838548
27/04/2012;0,033724538;0,005646817;0,021698245;0,19407306;-0,054763811
4/05/2012;0,004828396;-0,031308491;-0,022247234;-0,01260745;-0,005590378
11/05/2012;0,006103896;-0,053398911;-0,017062386;0,01647395;0,012265758
18/05/2012;-0,044146121;-0,079792169;-0,003157595;-0,060743148;0,050656345
25/05/2012;0,015935179;0,002218189;0,013191917;-0,004489128;0,046131667
1/06/2012;-0,028446099;-0,064587525;-0,034373645;-0,021936211;0,003674782
8/06/2012;0,029415789;0,043880404;0,035597253;0,049274805;0,040732265
15/06/2012;0,011297182;-0,021636101;0,041666667;-0,00059502;-0,006889475
22/06/2012;-0,015113681;-0,029486099;-0,009498049;0,01744905;-0,006642066
29/06/2012;0,043368028;0,070746528;0,051994496;0,027862802;0,035958395
6/07/2012;-0,000511574;-0,005674909;-0,040309497;-0,0144515;0,023522662
13/07/2012;-0,011132438;-0,036689768;-0,01150065;-0,029593424;0,025504484
