Company Name;Wgt;Corp Tkr;5 Yr CDS Tkr;Spread (bp);spread;adaptspread;adapt2
Aegon NV;0,8;AEGON;CAEGO1E5;117;117;224,25;195
Banco Bilbao Vizcaya Argentaria SA;0,8;BBVASM;CY355855;N.A.;123;235,75;205
Banco Santander SA;0,8;SANTAN;CY362804;152;152;291,3333333;253,3333333
Barclays PLC;0,8;BACR;CY349126;139;139;266,4166667;231,6666667
BP PLC;0,8;BPLN;CBPLN1E5;134;134;256,8333333;223,3333333
Koninklijke Philips NV;0,8;PHIANA;CPHG1E5 ;144;144;276;240
Repsol SA;0,8;REPSM;CREP1E5 ;115;115;220,4166667;191,6666667
Telefonica SA;0,8;TELEFO;CTLFO1E5;142;142;272,1666667;236,6666667
TotalEnergies SE;0,8;TTEFP;CTELF1E5;67;67;128,4166667;111,6666667
Vodafone Group PLC;0,8;VOD;CVOD1E5 ;109;109;208,9166667;181,6666667
AstraZeneca PLC;0,8;AZN;CAZN1E5 ;65;65;124,5833333;108,3333333
BAE Systems PLC;0,8;BALN;CBAE1E5 ;58;58;111,1666667;96,66666667
Aviva PLC;0,8;AVLN;CAVL1E5 ;117;117;224,25;195
Diageo PLC;0,8;DGELN;CDIAG1E5;47;47;90,08333333;78,33333333
HSBC Holdings PLC;0,8;HSBC;CT786869;129;129;247,25;215
Next PLC;0,8;NXTLN;CT356302;271;271;519,4166667;451,6666667
Pearson PLC;0,8;PSON;CPSON1E5;95;95;182,0833333;158,3333333
Prudential PLC;0,8;PRUFIN;CPRU1E5 ;117;117;224,25;195
NatWest Group PLC;0,8;NWG;CT413383;N.A.;123;235,75;205
SSE PLC;0,8;SSELN;CT373240;115;115;220,4166667;191,6666667
Standard Chartered PLC;0,8;STANLN;CSTC1E5 ;133;133;254,9166667;221,6666667
Tesco PLC;0,8;TSCOLN;CTSCO1E5;170;170;325,8333333;283,3333333
Lloyds Banking Group PLC;0,8;LLOYDS;CT706822;122;122;233,8333333;203,3333333
Nestle SA;0,8;NESNVX;CNESN1E5;42;42;80,5;70
Air Liquide SA;0,8;AIFP;CAIF1E5 ;52;52;99,66666667;86,66666667
AXA SA;0,8;AXASA;CAXA1E5 ;97;97;185,9166667;161,6666667
BNP Paribas SA;0,8;BNP;CY355903;122;122;233,8333333;203,3333333
Bouygues SA;0,8;ENFP;CBOUY1E5;82;82;157,1666667;136,6666667
Danone SA;0,8;BNFP;CBSN1E5 ;81;81;155,25;135
Carrefour SA;0,8;CAFP;CCARR1E5;138;138;264,5;230
Vivendi SE;0,8;VIVFP;CVIVU1E5;130;130;249,1666667;216,6666667
Cie de Saint-Gobain;0,8;SGOFP;CGOB1E5 ;147;147;281,75;245
LVMH Moet Hennessy Louis Vuitton SE;0,8;MCFP;CMOET1E5;48;48;92;80
Wendel SE;0,8;MWDP;CMWP1E5 ;161;161;308,5833333;268,3333333
Pernod Ricard SA;0,8;RIFP;CPER1E5 ;46;46;88,16666667;76,66666667
Kering SA;0,8;KERFP;CPRTP1E5;57;57;109,25;95
Publicis Groupe SA;0,8;PUBFP;CPUB1E5 ;119;119;228,0833333;198,3333333
Vinci SA;0,8;DGFP;CVINC1E5;74;74;141,8333333;123,3333333
Societe Generale SA;0,8;SOCGEN;CY362084;N.A.;123;235,75;205
Sodexo SA;0,8;SWFP;CEXH1E5 ;53;53;101,5833333;88,33333333
Unibail-Rodamco-Westfield SE;0,8;ULFP;CUNB1E5 ;320;320;613,3333333;533,3333333
Koninklijke Ahold Delhaize NV;0,8;ADNA;CAHLD1E5;63;63;120,75;105
Akzo Nobel NV;0,8;AKZANA;CAKZO1E5;150;150;287,5;250
Allianz SE;0,8;ALVGR;CALZ1E5 ;59;59;113,0833333;98,33333333
Volvo AB;0,8;VLVY;CVLVY1E5;96;96;184;160
UniCredit SpA;0,8;UCGIM;CY469635;N.A.;123;235,75;205
Credit Suisse Group AG;0,8;CS;CCS1E5  ;265;265;507,9166667;441,6666667
Mediobanca Banca di Credito Finanziario SpA;0,8;BACRED;CY469555;N.A.;123;235,75;205
Bayer AG;0,8;BAYNGR;CBAYR1E5;114;114;218,5;190
Bayerische Motoren Werke AG;0,8;BMW;CBMW1E5 ;111;111;212,75;185
Commerzbank AG;0,8;CMZB;CY420291;191;191;366,0833333;318,3333333
Continental AG;0,8;CONGR;CCONT1E5;236;236;452,3333333;393,3333333
Deutsche Bank AG;0,8;DB;CY384601;231;231;442,75;385
BASF SE;0,8;BASGR;CBASF1E5;114;114;218,5;190
Assicurazioni Generali SpA;0,8;ASSGEN;CASS1E5 ;132;132;253;220
Koninklijke DSM NV;0,8;DSM;CDSM1E5 ;55;55;105,4166667;91,66666667
Henkel AG & Co KGaA;0,8;HENKEL;CHENK1E5;57;57;109,25;95
Heineken NV;0,8;HEIANA;CT355784;46;46;88,16666667;76,66666667
Iberdrola SA;0,8;IBESM;CIBER1E5;97;97;185,9166667;161,6666667
Holcim AG;0,8;HOLNSW;CHOL1E5 ;184;184;352,6666667;306,6666667
Swiss Reinsurance Co Ltd;0,8;SRENVX;CRUK1E5 ;96;96;184;160
Siemens AG;0,8;SIEGR;CSIEM1E5;88;88;168,6666667;146,6666667
Solvay SA;0,8;SOLBBB;CSOLV1E5;127;127;243,4166667;211,6666667
Volkswagen AG;0,8;VW;CVW1E5  ;197;197;377,5833333;328,3333333
E.ON SE;0,8;EOANGR;CEON1E5 ;123;123;235,75;205
ING Groep NV;0,8;INTNED;CINT1E5 ;103;103;197,4166667;171,6666667
HOCHTIEF AG;0,8;HOTGR;CY188990;277;277;530,9166667;461,6666667
Danske Bank A/S;0,8;DANBNK;CY384685;143;143;274,0833333;238,3333333
HeidelbergCement AG;0,8;HEIGR;CHEI1E5 ;227;227;435,0833333;378,3333333
Muenchener Rueckversicherungs-Gesellschaft AG in Muenchen;0,8;MUNRE;CMURE1E5;70;70;134,1666667;116,6666667
Suedzucker AG;0,8;SZUGR;CT716410;155;155;297,0833333;258,3333333
Bertelsmann SE & Co KGaA;0,8;BERTEL;CBTG1E5 ;65;65;124,5833333;108,3333333
Naturgy Energy Group SA;0,8;NTGYSM;CGAS1E5 ;123;123;235,75;205
